date,base_price,unit
2022-06-22,0.29,US$/Wp
2022-06-22,0.29,US$/Wp
2022-06-22,0.265,US$/Wp
2022-06-22,0.27,US$/Wp
2022-06-22,0.27,US$/Wp
2022-06-22,0.275,US$/Wp
2022-06-22,0.275,US$/Wp
2022-06-29,0.216,US$/Wp
2022-06-29,0.29,US$/Wp
2022-06-29,0.29,US$/Wp
2022-06-29,0.265,US$/Wp
2022-06-29,0.27,US$/Wp
2022-06-29,0.27,US$/Wp
2022-06-29,0.275,US$/Wp
2022-06-29,0.275,US$/Wp
2022-07-06,0.218,US$/Wp
2022-07-06,0.29,US$/Wp
2022-07-06,0.29,US$/Wp
2022-07-06,0.265,US$/Wp
2022-07-06,0.27,US$/Wp
2022-07-06,0.27,US$/Wp
2022-07-06,0.275,US$/Wp
2022-07-06,0.275,US$/Wp
2022-07-13,0.218,US$/Wp
2022-07-13,0.29,US$/Wp
2022-07-13,0.29,US$/Wp
2022-07-13,0.265,US$/Wp
2022-07-13,0.27,US$/Wp
2022-07-13,0.27,US$/Wp
2022-07-13,0.275,US$/Wp
2022-07-13,0.275,US$/Wp
2022-07-20,0.218,US$/Wp
2022-07-20,0.29,US$/Wp
2022-07-20,0.29,US$/Wp
2022-07-20,0.29,US$/Wp
2022-07-20,0.29,US$/Wp
2022-07-20,0.265,US$/Wp
2022-07-20,0.27,US$/Wp
2022-07-20,0.27,US$/Wp
2022-07-20,0.275,US$/Wp
2022-07-20,0.275,US$/Wp
2022-07-27,0.218,US$/Wp
2022-07-27,0.29,US$/Wp
2022-07-27,0.29,US$/Wp
2022-07-27,0.29,US$/Wp
2022-07-27,0.29,US$/Wp
2022-07-27,0.265,US$/Wp
2022-07-27,0.27,US$/Wp
2022-07-27,0.27,US$/Wp
2022-07-27,0.275,US$/Wp
2022-07-27,0.275,US$/Wp
2022-08-03,0.218,US$/Wp
2022-08-03,0.29,US$/Wp
2022-08-03,0.29,US$/Wp
2022-08-03,0.29,US$/Wp
2022-08-03,0.29,US$/Wp
2022-08-03,0.265,US$/Wp
2022-08-03,0.27,US$/Wp
2022-08-03,0.27,US$/Wp
2022-08-03,0.275,US$/Wp
2022-08-03,0.275,US$/Wp
2022-08-10,0.218,US$/Wp
2022-08-10,0.29,US$/Wp
2022-08-10,0.29,US$/Wp
2022-08-10,0.29,US$/Wp
2022-08-10,0.29,US$/Wp
2022-08-10,0.265,US$/Wp
2022-08-10,0.27,US$/Wp
2022-08-10,0.27,US$/Wp
2022-08-10,0.275,US$/Wp
2022-08-10,0.275,US$/Wp
2022-08-17,0.218,US$/Wp
2022-08-17,0.29,US$/Wp
2022-08-17,0.29,US$/Wp
2022-08-17,0.29,US$/Wp
2022-08-17,0.29,US$/Wp
2022-08-17,0.265,US$/Wp
2022-08-17,0.27,US$/Wp
2022-08-17,0.27,US$/Wp
2022-08-17,0.275,US$/Wp
2022-08-17,0.275,US$/Wp
2022-08-24,0.217,US$/Wp
2022-08-24,0.28,US$/Wp
2022-08-24,0.28,US$/Wp
2022-08-24,0.29,US$/Wp
2022-08-24,0.29,US$/Wp
2022-08-24,0.265,US$/Wp
