date,base_price
2023-10-11,0.203
2023-10-18,0.131
2023-10-18,0.164
2023-10-18,0.165
2023-10-18,0.165
2023-10-18,0.167
2023-10-18,0.135
2023-10-18,0.135
2023-10-18,0.14
2023-10-18,0.14
2023-10-18,0.169
2023-10-18,0.199
2023-10-25,0.128
2023-10-25,0.157
2023-10-25,0.158
2023-10-25,0.158
2023-10-25,0.16
2023-10-25,0.135
2023-10-25,0.135
2023-10-25,0.14
2023-10-25,0.14
2023-10-25,0.164
2023-10-25,0.191
2023-11-01,0.125
2023-11-01,0.148
2023-11-01,0.152
2023-11-01,0.149
2023-11-01,0.154
2023-11-01,0.13
2023-11-01,0.13
2023-11-01,0.135
2023-11-01,0.135
2023-11-01,0.161
2023-11-01,0.189
2023-11-08,0.122
2023-11-08,0.148
2023-11-08,0.152
2023-11-08,0.15
2023-11-08,0.154
2023-11-08,0.13
2023-11-08,0.13
2023-11-08,0.135
2023-11-08,0.135
2023-11-08,0.159
2023-11-08,0.189
2023-11-15,0.121
2023-11-15,0.146
2023-11-15,0.149
2023-11-15,0.148
2023-11-15,0.15
2023-11-15,0.13
2023-11-15,0.13
2023-11-15,0.135
2023-11-15,0.135
2023-11-15,0.156
