date,base_price,unit
2024-10-09,0.1,US$/Wp
2024-10-09,0.11,US$/Wp
2024-10-09,0.11,US$/Wp
2024-10-16,0.1,US$/Wp
2024-10-16,0.1,US$/Wp
2024-10-16,0.105,US$/Wp
2024-10-16,0.105,US$/Wp
2024-10-23,0.1,US$/Wp
2024-10-23,0.1,US$/Wp
2024-10-23,0.105,US$/Wp
2024-10-23,0.105,US$/Wp
2024-10-30,0.1,US$/Wp
2024-10-30,0.1,US$/Wp
2024-10-30,0.105,US$/Wp
2024-10-30,0.105,US$/Wp
2024-11-06,0.1,US$/Wp
2024-11-06,0.1,US$/Wp
2024-11-06,0.105,US$/Wp
2024-11-06,0.105,US$/Wp
2024-11-13,0.09,US$/Wp
2024-11-13,0.09,US$/Wp
2024-11-13,0.1,US$/Wp
2024-11-13,0.1,US$/Wp
2024-11-20,0.09,US$/Wp
2024-11-20,0.09,US$/Wp
2024-11-20,0.1,US$/Wp
2024-11-20,0.1,US$/Wp
2024-11-27,0.085,US$/Wp
2024-11-27,0.085,US$/Wp
2024-11-27,0.095,US$/Wp
2024-11-27,0.095,US$/Wp
2024-12-04,0.085,US$/Wp
2024-12-04,0.085,US$/Wp
2024-12-04,0.095,US$/Wp
2024-12-04,0.095,US$/Wp
2024-12-11,0.085,US$/Wp
2024-12-11,0.085,US$/Wp
2024-12-11,0.095,US$/Wp
2024-12-11,0.095,US$/Wp
2024-12-18,0.085,US$/Wp
2024-12-18,0.085,US$/Wp
2024-12-18,0.095,US$/Wp
2024-12-18,0.095,US$/Wp
2024-12-25,0.085,US$/Wp
2024-12-25,0.085,US$/Wp
2024-12-25,0.095,US$/Wp
2024-12-25,0.095,US$/Wp
2025-01-01,0.085,US$/Wp
2025-01-01,0.085,US$/Wp
2025-01-01,0.095,US$/Wp
2025-01-01,0.095,US$/Wp
2025-01-08,0.078,US$/Wp
2025-01-08,0.078,US$/Wp
2025-01-08,0.088,US$/Wp
2025-01-08,0.088,US$/Wp
2025-01-15,0.078,US$/Wp
2025-01-15,0.078,US$/Wp
2025-01-15,0.088,US$/Wp
2025-01-15,0.088,US$/Wp
2025-01-22,0.078,US$/Wp
2025-01-22,0.078,US$/Wp
2025-01-22,0.088,US$/Wp
2025-01-22,0.088,US$/Wp
2025-01-29,0.078,US$/Wp
2025-01-29,0.078,US$/Wp
2025-01-29,0.088,US$/Wp
2025-01-29,0.088,US$/Wp
2025-02-05,0.078,US$/Wp
2025-02-05,0.078,US$/Wp
2025-02-05,0.088,US$/Wp
2025-02-05,0.088,US$/Wp
2025-02-12,0.078,US$/Wp
2025-02-12,0.09,US$/Wp
2025-02-19,0.078,US$/Wp
2025-02-19,0.09,US$/Wp
2025-02-26,0.078,US$/Wp
2025-02-26,0.09,US$/Wp
2025-03-05,0.08,US$/Wp
2025-03-05,0.09,US$/Wp
2025-03-12,0.08,US$/Wp
2025-03-12,0.09,US$/Wp
2025-03-19,0.08,US$/Wp
2025-03-19,0.09,US$/Wp
2025-03-26,0.08,US$/Wp
2025-03-26,0.09,US$/Wp
